name,value,year,lastValue,rank
Nintendo Wii U,NA,2009.2,NA,6
PlayStation Vita,NA,2009.2,NA,7
Nintendo 3DS,NA,2009.2,NA,8
Xbox One,NA,2009.2,NA,9
Nintendo Switch,NA,2009.2,NA,10
PlayStation 4,NA,2009.2,NA,11
Nintendo DS,27464088,2009.3,27460549,1
Nintendo Wii,21098669,2009.3,21096793,2
PlayStation 3,13367129,2009.3,13357771,3
Xbox 360,10513872,2009.3,10501572,4
Playstation Portable,10020383,2009.3,10017180,5
Nintendo Wii U,NA,2009.3,NA,6
PlayStation Vita,NA,2009.3,NA,7
Nintendo 3DS,NA,2009.3,NA,8
Xbox One,NA,2009.3,NA,9
Nintendo Switch,NA,2009.3,NA,10
PlayStation 4,NA,2009.3,NA,11
Nintendo DS,27476652,2009.4,27464088,1
Nintendo Wii,21101620,2009.4,21098669,2
PlayStation 3,13386602,2009.4,13367129,3
Xbox 360,10528085,2009.4,10513872,4
Playstation Portable,10037763,2009.4,10020383,5
Nintendo Wii U,NA,2009.4,NA,6
PlayStation Vita,NA,2009.4,NA,7
Nintendo 3DS,NA,2009.4,NA,8
Xbox One,NA,2009.4,NA,9
Nintendo Switch,NA,2009.4,NA,10
PlayStation 4,NA,2009.4,NA,11
Nintendo DS,27482095,2009.5,27476652,1
Nintendo Wii,21102199,2009.5,21101620,2
PlayStation 3,13401947,2009.5,13386602,3
Xbox 360,10530387,2009.5,10528085,4
Playstation Portable,10054772,2009.5,10037763,5
Nintendo Wii U,NA,2009.5,NA,6
PlayStation Vita,NA,2009.5,NA,7
Nintendo 3DS,NA,2009.5,NA,8
Xbox One,NA,2009.5,NA,9
Nintendo Switch,NA,2009.5,NA,10
PlayStation 4,NA,2009.5,NA,11
Nintendo DS,27501340,2009.6,27482095,1
Nintendo Wii,21117298,2009.6,21102199,2
PlayStation 3,13408706,2009.6,13401947,3
Xbox 360,10534088,2009.6,10530387,4
Playstation Portable,10072279,2009.6,10054772,5
Nintendo Wii U,NA,2009.6,NA,6
PlayStation Vita,NA,2009.6,NA,7
Nintendo 3DS,NA,2009.6,NA,8
Xbox One,NA,2009.6,NA,9
Nintendo Switch,NA,2009.6,NA,10
PlayStation 4,NA,2009.6,NA,11
Nintendo DS,27518081,2009.7,27501340,1
Nintendo Wii,21118333,2009.7,21117298,2
PlayStation 3,13412601,2009.7,13408706,3
Xbox 360,10550866,2009.7,10534088,4
Playstation Portable,10073702,2009.7,10072279,5
Nintendo Wii U,NA,2009.7,NA,6
PlayStation Vita,NA,2009.7,NA,7
Nintendo 3DS,NA,2009.7,NA,8
